state,theta_deg,phi_deg,anchor_nominal_ghz,actual_ghz,s11_db,z_re_ohm,z_im_ohm
BROAD,0,45,1.17645,1.1768,-5.470005170826355,132.01744080993316,141.06453644315624
BROAD,0,45,1.2276,1.2272,-5.875582259435605,182.82476977291168,136.502561125777
BROAD,0,45,1.27875,1.2784,-6.280128116782151,234.06511607742098,104.24589881532266
BROAD,0,45,1.4,1.4,-7.3370684950768075,243.7731734950263,-37.5289220762166
BROAD,0,45,1.5611,1.5608,-9.029944578489502,125.3295270856548,-80.75829946358387
BROAD,0,45,1.57542,1.5752000000000002,-9.173622799560748,117.43601301016572,-78.4844811359793
BROAD,0,45,1.602,1.6024,-9.417712899762211,104.06964180861962,-73.19891815250658
C30P45,30,45,1.17645,1.1768,-7.396862657225959,126.19048086915228,102.72471650932016
C30P45,30,45,1.2276,1.2272,-7.999220603364002,154.92707425519475,93.04317760419347
C30P45,30,45,1.27875,1.2784,-8.635803289256824,178.59219510845537,71.79601305483595
C30P45,30,45,1.4,1.4,-10.569049100426637,184.0997660090118,2.8264003897175005
C30P45,30,45,1.5611,1.5608,-15.526003583791985,122.89991116895209,-29.875332615361167
C30P45,30,45,1.57542,1.5752000000000002,-16.205412350611212,117.52051488348954,-29.10190430037496
C30P45,30,45,1.602,1.6024,-17.572469727176408,107.9405259058798,-26.560806397381747
C45P45,45,45,1.17645,1.1768,-11.525540372839519,106.34070589267856,56.39256199675005
C45P45,45,45,1.2276,1.2272,-12.107707550025417,112.91683196153745,52.872571390567046
C45P45,45,45,1.27875,1.2784,-12.658899195469495,118.20276722355516,48.773769352092614
C45P45,45,45,1.4,1.4,-14.194197779953715,123.56989308811023,37.42515693060238
C45P45,45,45,1.5611,1.5608,-16.580704475736468,112.22850765274558,29.310730746415036
C45P45,45,45,1.57542,1.5752000000000002,-16.610022028501305,110.4813061319254,29.60177399469953
C45P45,45,45,1.602,1.6024,-16.438470173127854,107.02905391960849,30.74551832863055
C60P45,60,45,1.17645,1.1768,-14.085802300277754,67.46979735313207,-6.16130569694317
C60P45,60,45,1.2276,1.2272,-11.829658059464013,59.72009560283651,7.425583426316545
C60P45,60,45,1.27875,1.2784,-10.294129271079823,56.3000205105848,20.29261536560313
C60P45,60,45,1.4,1.4,-8.103003015782562,56.821812224284486,47.93376261789221
C60P45,60,45,1.5611,1.5608,-6.483647731224237,67.63273865715689,82.42406465008152
C60P45,60,45,1.57542,1.5752000000000002,-6.368852858053046,69.06424865156495,85.6102898560383
C60P45,60,45,1.602,1.6024,-6.158070172469692,71.99272885723342,91.76023536337276
C60P135,60,135,1.17645,1.1768,-5.480426136896476,82.81622563204621,113.07930342907453
C60P135,60,135,1.2276,1.2272,-5.611103533461237,104.45084631167322,125.72042439387931
C60P135,60,135,1.27875,1.2784,-5.743753512066544,132.31055501302816,134.83479416922174
C60P135,60,135,1.4,1.4,-6.174135429570121,218.05126602767217,117.50026501230968
C60P135,60,135,1.5611,1.5608,-7.261165802779428,251.84814492532735,-15.743769376975102
C60P135,60,135,1.57542,1.5752000000000002,-7.401264149810187,245.25456126918758,-26.758541539091993
C60P135,60,135,1.602,1.6024,-7.690545619894191,230.0572456772335,-44.2623912777606
