f_GHz,S11_dB,S21_dB,S12_dB,S22_dB
1.0,-16.473819312162846,-0.19371559852026676,-0.19367699570461636,-16.476479875107707
1.001,-16.46152051806193,-0.19409573008999936,-0.1940570445109906,-16.464176972693583
1.002,-16.44923071253182,-0.1944763487797161,-0.19443758375773046,-16.45188308269079
1.003,-16.43694989793162,-0.1948574559280539,-0.19481861476271017,-16.43959820726596
1.004,-16.42467807658806,-0.19523905286943752,-0.1952001388396265,-16.427322348554526
1.005,-16.412415250795547,-0.1956211409340613,-0.19558215729801334,-16.41505550866089
1.006,-16.400161422816275,-0.19600372144789313,-0.19596467144321103,-16.40279768965842
1.007,-16.387916594880323,-0.19638679573267318,-0.19634768257637786,-16.390548893589607
1.008,-16.37568076918573,-0.1967703651058918,-0.19673119199447806,-16.378309122466106
1.009,-16.363453947898606,-0.19715443088079748,-0.19711520099027463,-16.36607837826886
1.01,-16.3512361331532,-0.1975389943663864,-0.19749971085232532,-16.353856662948136
1.011,-16.339027327052015,-0.19792405686739467,-0.1978847228649752,-16.341643978423683
1.012,-16.32682753166588,-0.19830961968428995,-0.19827023830835178,-16.32944032658473
1.013,-16.31463674903407,-0.19869568411327126,-0.19865625845836066,-16.317245709290173
1.014,-16.30245498116435,-0.19908225144626385,-0.19904278458667457,-16.30506012836857
1.015,-16.29028223003312,-0.19946932297090608,-0.19942981796072795,-16.29288358561829
1.016,-16.27811849758548,-0.1998568999705453,-0.19981735984372095,-16.280716082807565
1.017,-16.265963785735327,-0.2002449837242394,-0.2002054114946002,-16.2685576216746
1.018,-16.253818096365432,-0.20063357550674193,-0.20059397416806066,-16.256408203927645
1.019,-16.241681431327557,-0.20102267658849882,-0.20098304911453838,-16.244267831245086
1.02,-16.229553792442537,-0.20141228823564702,-0.20137263758020235,-16.23213650527554
1.021,-16.217435181500374,-0.20180241171000363,-0.2017627408069524,-16.22001422763794
1.022,-16.205325600260313,-0.20219304826906032,-0.20215336003241074,-16.207900999921605
1.023,-16.193225050450973,-0.20258419916597853,-0.20254449648991812,-16.19579682368635
1.024,-16.181133533770385,-0.20297586564958395,-0.20293615140852625,-16.183701700462564
1.025,-16.169051051886147,-0.2033680489643654,-0.20332832601299095,-16.171615631751305
1.026,-16.156977606435458,-0.20376075035045574,-0.2037210215237717,-16.15953861902436
1.027,-16.144913199025257,-0.20415397104364244,-0.20411423915702043,-16.147470663724388
1.028,-16.132857831232275,-0.20454771227534957,-0.20450798012457946,-16.135411767264934
1.029,-16.12081150460317,-0.2049419752726413,-0.20490224563397513,-16.123361931030594
1.03,-16.108774220654585,-0.20533676125820907,-0.20529703688840867,-16.111321156377038
1.031,-16.096745980873262,-0.20573207145036793,-0.2056923550867558,-16.099289444631147
1.032,-16.084726786716125,-0.20612790706305256,-0.20608820142355877,-16.087266797091065
1.033,-16.07271663961037,-0.20652426930581394,-0.20648457708902085,-16.075253215026308
1.034,-16.060715540953577,-0.20692115938380526,-0.20688148326900122,-16.063248699677843
1.035,-16.04872349211378,-0.20731857849778734,-0.20727892114500773,-16.05125325225818
1.036,-16.036740494429573,-0.2077165278441136,-0.2076768918941986,-16.039266873951465
1.037,-16.024766549210202,-0.20811500861473486,-0.20807539668936115,-16.02728956591357
1.038,-16.012801657735654,-0.2085140219971789,-0.20847443669892557,-16.015321329272147
1.039,-16.000845821256753,-0.20891356917456133,-0.2088740130869487,-16.003362165126777
1.04,-15.988899040995259,-0.20931365132556912,-0.2092741270131076,-15.991412074549006
1.041,-15.976961318143958,-0.2097142696244606,-0.20967477963270045,-15.979471058582458
1.042,-15.96503265386674,-0.21011542524105806,-0.21007597209663326,-15.967539118242923
1.043,-15.953113049298722,-0.21051711934074127,-0.21047770555142634,-15.955616254518443
1.044,-15.941202505546318,-0.21091935308444748,-0.21087998113919643,-15.943702468369397
1.045,-15.929301023687348,-0.21132212762865699,-0.21128279999765895,-15.931797760728589
1.046,-15.917408604771115,-0.2117254441253998,-0.21168616326011913,-15.91990213250135
1.047,-15.905525249818515,-0.21212930372223743,-0.21209007205547237,-15.908015584565614
1.048,-15.893650959822128,-0.21253370756226755,-0.21249452750819106,-15.896138117772015
1.049,-15.881785735746304,-0.21293865678411264,-0.2128995307383234,-15.884269732943963
1.05,-15.869929578527257,-0.21334415252192368,-0.21330508286149283,-15.87241043087775
1.051,-15.858082489073178,-0.2137501959053638,-0.21371118498888586,-15.860560212342637
1.052,-15.846244468264297,-0.2141567880596071,-0.21411783822724578,-15.84871907808093
1.053,-15.834415516953008,-0.2145639301053392,-0.21452504367888026,-15.836887028808079
1.054,-15.82259563596395,-0.21497162315874577,-0.214932802441638,-15.825064065212766
1.055,-15.810784826094096,-0.21537986833150752,-0.21534111560891941,-15.813250187957005
1.056,-15.798983088112852,-0.21578866673079858,-0.21574998426966238,-15.801445397676208
1.057,-15.787190422762166,-0.21619801945928122,-0.2161594095083437,-15.7896496949793
1.058,-15.77540683075659,-0.21660792761509753,-0.21656939240496584,-15.777863080448785
1.059,-15.763632312783402,-0.21701839229186806,-0.21697993403506075,-15.766085554640865
1.06,-15.751866869502695,-0.21742941457868442,-0.21739103546968208,-15.754317118085492
1.061,-15.740110501547468,-0.21784099556010492,-0.21780269777539535,-15.742557771286494
1.062,-15.728363209523717,-0.21825313631615317,-0.21821492201427606,-15.730807514721645
1.063,-15.71662499401054,-0.21866583792230487,-0.21862770924391267,-15.71906634884276
