f_GHz,S11_dB,S21_dB,S12_dB,S22_dB
1.0,-19.12094644984322,-0.14892493537649032,-0.14892101441155106,-19.124298524677453
1.001,-19.103802063940158,-0.14924425736500593,-0.14924032284174749,-19.10714822433133
1.002,-19.08667100847182,-0.14956405988278434,-0.14956011224386975,-19.090011267206684
1.003,-19.06955329252284,-0.14988434571187778,-0.14988038539780413,-19.07288766229113
1.004,-19.052448925075105,-0.15020511762820846,-0.15020114507730578,-19.055777418470594
1.005,-19.035357915008206,-0.1505263784015591,-0.15052239404999213,-19.03868054452979
1.006,-19.01828027109986,-0.1508481307955635,-0.15084413507733538,-19.021597049152568
1.007,-19.00121600202634,-0.15117037756769117,-0.1511663709146443,-19.004526940922393
1.008,-18.98416511636286,-0.15149312146924776,-0.1514891043110607,-18.987470228322717
1.009,-18.967127622584048,-0.15181636524535091,-0.15181233800954685,-18.970426919737406
1.01,-18.950103529064325,-0.15214011163493246,-0.1521360747468695,-18.95339702345116
1.011,-18.93309284407833,-0.15246436337071545,-0.1524603172536018,-18.936380547649915
1.012,-18.916095575801354,-0.15278912317921536,-0.15278506825410051,-18.91937750042124
1.013,-18.89911173230974,-0.15311439378072184,-0.1531103304665023,-18.90238788975479
1.014,-18.882141321581294,-0.15344017788929226,-0.15343610660271026,-18.88541172354265
1.015,-18.86518435149572,-0.1537664782127403,-0.1537623993683886,-18.868449009579805
1.016,-18.848240829835,-0.15409329745262554,-0.15408921146294619,-18.851499755564493
1.017,-18.831310764283845,-0.15442063830424496,-0.15441654557953116,-18.834563969098653
1.018,-18.814394162430062,-0.15474850345661662,-0.15474440440501552,-18.8176416576883
1.019,-18.797491031765006,-0.15507689559247922,-0.1550727906199935,-18.80073282874394
1.02,-18.780601379683947,-0.1554058173882727,-0.1554017068987605,-18.783837489580954
1.021,-18.763725213486516,-0.15573527151413652,-0.15573115590931438,-18.766955647420033
1.022,-18.746862540377077,-0.15606526063389278,-0.15606114031333418,-18.750087309387553
1.023,-18.73001336746516,-0.15639578740503834,-0.15639166276618152,-18.733232482515962
1.024,-18.71317770176584,-0.1567268544787366,-0.15672272591688044,-18.71639117374421
1.025,-18.69635555020017,-0.15705846449980504,-0.15705433240811079,-18.69956338991813
1.026,-18.67954691959554,-0.15739062010670768,-0.1573864848762048,-18.68274913779081
1.027,-18.66275181668614,-0.15772332393154095,-0.15771918595112966,-18.66594842402304
1.028,-18.64597024811328,-0.15805657860003086,-0.15805243825647725,-18.649161255183643
1.029,-18.629202220425864,-0.15839038673151787,-0.15838624440945948,-18.632387637749932
1.03,-18.612447740080746,-0.15872475093894634,-0.15872060702089302,-18.61562757810804
1.031,-18.595706813443144,-0.15905967382885705,-0.1590555286951958,-18.598881082553365
1.032,-18.578979446787006,-0.15939515800138093,-0.15939101203037243,-18.58214815729091
1.033,-18.562265646295465,-0.15973120605022045,-0.1597270596180081,-18.565428808435712
1.034,-18.545565418061155,-0.16006782056264834,-0.1600636740432519,-18.5487230420132
1.035,-18.528878768086685,-0.1604050041194929,-0.16040085788481834,-18.532030863959616
1.036,-18.512205702284962,-0.16074275929513185,-0.16073861371496517,-18.515352280122354
1.037,-18.49554622647963,-0.16108108865747972,-0.16107694409949558,-18.498687296260393
1.038,-18.478900346405425,-0.16141999476798047,-0.16141585159774208,-18.482035918044637
1.039,-18.462268067708592,-0.16175948018159889,-0.16175533876255482,-18.465398151058338
1.04,-18.44564939594726,-0.16209954744680644,-0.16209540814030324,-18.44877400079744
1.041,-18.429044336591833,-0.16244019910557447,-0.1624360622708507,-18.432163472670993
1.042,-18.41245289502536,-0.1627814376933681,-0.1627773036875578,-18.415566572001516
1.043,-18.39587507654396,-0.1631232657391324,-0.16311913491726918,-18.39898330402538
1.044,-18.379310886357146,-0.1634656857652863,-0.16346155848029983,-18.382413673893172
1.045,-18.362760329588287,-0.16380870028770778,-0.16380457689043684,-18.365857686670108
1.046,-18.346223411274906,-0.16415231181573173,-0.16414819265491473,-18.349315347336358
1.047,-18.32970013636913,-0.16449652285213917,-0.16449240827442413,-18.332786660787484
1.048,-18.313190509738032,-0.16484133589313915,-0.16483722624308134,-18.31627163183475
1.049,-18.29669453616403,-0.16518675342837386,-0.16518264904844063,-18.299770265205545
1.05,-18.280212220345234,-0.1655327779409005,-0.16552867917147104,-18.28328256554373
1.051,-18.263743566895887,-0.16587941190718256,-0.1658753190865508,-18.266808537410018
1.052,-18.24728858034667,-0.16622665779708357,-0.16622257126146564,-18.250348185282345
1.053,-18.230847265145126,-0.16657451807385637,-0.1665704381573838,-18.233901513556237
1.054,-18.21441962565601,-0.1669229951941339,-0.16691892222886395,-18.217468526545183
1.055,-18.198005666161695,-0.16727209160792333,-0.16726802592383624,-18.201049228481
1.056,-18.181605390862494,-0.1676218097585911,-0.16761775168359433,-18.1846436235142
1.057,-18.16521880387709,-0.16797215208286087,-0.16796810194279327,-18.16825171571437
1.058,-18.14884590924286,-0.16832312101080033,-0.1683190791294298,-18.151873509070505
1.059,-18.132486710916275,-0.1686747189658117,-0.16867068566484195,-18.135509007491414
1.06,-18.116141212773265,-0.16902694836462717,-0.16902292396369945,-18.11915821480605
1.061,-18.099809418609574,-0.16937981161729826,-0.16937579643399117,-18.1028211347639
1.062,-18.083491332141143,-0.16973331112718357,-0.16972930547701978,-18.086497771035322
1.063,-18.067186957004473,-0.17008744929094602,-0.17008345348738824,-18.070188127211924
1.064,-18.05089629675698,-0.1704422284985395,-0.1704382428530029,-18.053892206806918
1.065,-18.034619354877396,-0.17079765113320322,-0.17079367595504552,-18.037610013255485
1.066,-18.01835613476608,-0.17115371957145228,-0.17114975516798742,-18.021341549915125
1.067,-18.002106639745424,-0.17151043618306608,-0.1715064828595618,-18.005086820066015
1.068,-17.9858708730602,-0.1718678033310848,-0.17186386139076665,-17.98884582691138
1.069,-17.96964883787793,-0.17222582337179987,-0.17222189311584893,-17.97261857357784
1.07,-17.953440537289225,-0.17258449865474235,-0.17258058038230492,-17.956405063115753
1.071,-17.93724597430819,-0.17294383152267653,-0.17293992553086587,-17.940205298499606
1.072,-17.921065151872718,-0.17330382431159422,-0.17329993089548645,-17.92401928262831
1.073,-17.904898072844922,-0.1736644793506993,-0.17366059880334503,-17.907847018325626
1.074,-17.888744740011436,-0.17402579896240716,-0.1740219315748273,-17.891688508340447
1.075,-17.8726051560838,-0.17438778546233294,-0.1743839315235255,-17.87554375534721
1.076,-17.856479323698796,-0.1747504411592833,-0.17474660095622113,-17.85941276194618
1.077,-17.84036724541884,-0.17511376835524745,-0.17510994217289194,-17.84329553066389
1.078,-17.82426892373229,-0.17547776934539294,-0.1754739574666839,-17.827192063953394
1.079,-17.808184361053836,-0.1758424464180518,-0.17583864912391817,-17.811102364194678
1.08,-17.792113559724825,-0.17620780185471913,-0.17620401942407365,-17.795026433694975
1.081,-17.77605652201365,-0.1765738379300314,-0.17657007063979044,-17.77896427468914
1.082,-17.760013250116046,-0.17694055691178084,-0.1769368050368472,-17.762915889339972
1.083,-17.743983746155504,-0.17730796106088892,-0.17730422487416744,-17.746881279738574
1.084,-17.727968012183574,-0.17767605263140263,-0.1776723324038002,-17.73086044790467
1.085,-17.711966050180223,-0.17804483387049594,-0.17804112987091908,-17.714853395786992
1.086,-17.695977862054196,-0.1784143070184422,-0.17841061951381185,-17.698860125263593
1.087,-17.68000344964336,-0.17878447430863045,-0.17878080356386866,-17.682880638142187
1.088,-17.664042814715028,-0.1791553379675398,-0.17915168424558953,-17.666914936160495
