symbol,value,unit,value_provenance,mapping_status,physical_feature,figure_panel,confidence,deterministic_cad
Lg,260,mm,PAPER_EXPLICIT,MAPPED_EXACT,square_main_ground_plane_side_length,Figure_7a,HIGH,YES
H,80,mm,PAPER_EXPLICIT,MAPPED_EXACT,radiator_to_main_ground_vertical_height,Figure_7a,HIGH,YES
Lr,115,mm,PAPER_EXPLICIT,MAPPED_EXACT,square_loop_outside_side_length,Figure_7b,HIGH,YES
Wr,5.9,mm,PAPER_EXPLICIT,MAPPED_EXACT,square_loop_trace_width,Figure_7b,HIGH,YES
Ld,97,mm,PAPER_EXPLICIT,MAPPED_EXACT,crossed_dipole_square_envelope_span,Figure_7b,HIGH,YES
Ws,2.2,mm,PAPER_EXPLICIT,MAPPED_EXACT,open_slot_width,Figure_7b,HIGH,YES
Ls,26.6,mm,PAPER_EXPLICIT,MAPPED_EXACT,open_slot_straight_outer_leg_length,Figure_7b,HIGH,YES
Wg1,1.7,mm,PAPER_EXPLICIT,MAPPED_EXACT,central_interarm_gap_width,Figure_7b,HIGH,YES
Wg2,3.9,mm,PAPER_EXPLICIT,MAPPED_EXACT,outer_interarm_gap_width,Figure_7b,HIGH,YES
Wp,8.4,mm,PAPER_EXPLICIT,MAPPED_EXACT,slot_end_to_outer_interarm_boundary_distance,Figure_7b,HIGH,YES
Lp1,36.3,mm,PAPER_EXPLICIT,MAPPED_EXACT,centerline_to_outer_slot_horizontal_leg_distance,Figure_7b,HIGH,YES
Lp2,8.2,mm,PAPER_EXPLICIT,MAPPED_EXACT,outer_side_to_diagonal_taper_start_distance,Figure_7b,HIGH,YES
Lp3,36.8,mm,PAPER_EXPLICIT,MAPPED_EXACT,diagonal_inner_cutout_taper_edge_length,Figure_7b,HIGH,YES
Lb1,21,mm,PAPER_EXPLICIT,MAPPED_EXACT,lower_vertical_feed_section_length,Figure_7c_Port1,HIGH,YES
Lb2,10,mm,PAPER_EXPLICIT,MAPPED_EXACT,intermediate_vertical_feed_section_length,Figure_7c_Port1,HIGH,YES
Lb3,20.5,mm,PAPER_EXPLICIT,MAPPED_EXACT,upper_right_vertical_feed_section_length,Figure_7c_Port1,HIGH,YES
Lb4,24.5,mm,PAPER_EXPLICIT,MAPPED_EXACT,left_open_stub_downward_length,Figure_7c_Port1,HIGH,YES
Lb5,73,mm,PAPER_EXPLICIT,MAPPED_EXACT,main_balun_board_height,Figure_7c_Port1,HIGH,YES
Wb1,1.5,mm,PAPER_EXPLICIT,MAPPED_EXACT,lower_vertical_feed_strip_width,Figure_7c_Port2,HIGH,YES
Wb2,0.65,mm,PAPER_EXPLICIT,MAPPED_EXACT,intermediate_feed_strip_width,Figure_7c_Port2,HIGH,YES
Wb3,0.95,mm,PAPER_EXPLICIT,MAPPED_EXACT,upper_vertical_feed_strip_width,Figure_7c_Port2,HIGH,YES
Wb4,13,mm,PAPER_EXPLICIT,MAPPED_EXACT,upper_U_branch_transverse_span,Figure_7c_Port2,HIGH,YES
Wb5,28.5,mm,PAPER_EXPLICIT,MAPPED_EXACT,board_left_edge_to_central_feed_region_offset,Figure_7c_Port2,HIGH,YES
Wb6,3.6,mm,PAPER_EXPLICIT,MAPPED_EXACT,central_longitudinal_slot_channel_width,Figure_7c_Port2,HIGH,YES
Wb7,4.8,mm,PAPER_EXPLICIT,MAPPED_EXACT,right_top_terminal_tab_width,Figure_7c_Port2,HIGH,YES
Wb8,3.6,mm,PAPER_EXPLICIT,MAPPED_EXACT,left_top_terminal_tab_width,Figure_7c_Port2,HIGH,YES
